attributes,FirstName,LastName,Title,Email,Phone,Country__c,Company,Industry,Status,AnnualRevenue,NumberOfEmployees,Technology__c,Technology_Service__c,RevenueRange,Exists,LeadScore,LeadScoreFinal,LeadCategory
"OrderedDict([('type', 'Lead'), ('url', '/services/data/v57.0/sobjects/Lead/00Q76000005BLF0EAO')])",Millie,Armstrong,Healthcare Coordinator,armstrong@gmail.com,(222) 222-2222,USA,"Director, Information Technology",Education,Open,850000.0,60,AI,AI Chatbots and Virtual Assistants,500k - 2M,Yes,80,16,Cold Lead
"OrderedDict([('type', 'Lead'), ('url', '/services/data/v57.0/sobjects/Lead/00Q76000005BLF1EAO')])",Moira,Arnett,Data Scientist,arnett@gmail.com,(111) 111-1111,USA,"Director, IT User Experience",Electronics,Open,650000.0,40,AI,AI Chatbots and Virtual Assistants,500k - 2M,Yes,80,16,Cold Lead
"OrderedDict([('type', 'Lead'), ('url', '/services/data/v57.0/sobjects/Lead/00Q76000005BLF2EAO')])",Mania,Arnig,Business Consultant,arnig@gmail.com,(333) 333-3333,USA,"Senior Manager, Research & Development System Test",Energy,Open,900000.0,98,AI,AI Chatbots and Virtual Assistants,500k - 2M,Yes,80,16,Cold Lead
"OrderedDict([('type', 'Lead'), ('url', '/services/data/v57.0/sobjects/Lead/00Q76000005BLF3EAO')])",sanil,Arnis,Marketing Manager,arnis@gmail.com,(666) 666-6666,USA,"Deputy Director, Information Solutions",Engineering,Open,550000.0,56,AI,AI Chatbots and Virtual Assistants,500k - 2M,Yes,80,16,Cold Lead
"OrderedDict([('type', 'Lead'), ('url', '/services/data/v57.0/sobjects/Lead/00Q76000005BLF4EAO')])",tanie,Arnold,Healthcare Director,arnold@gmail.com,(999) 999-9999,USA,"Vice President, Information Technology",Entertainment,Open,180000.0,56,AI,AI Chatbots and Virtual Assistants,0 - 500k,Yes,50,4,Cold Lead
"OrderedDict([('type', 'Lead'), ('url', '/services/data/v57.0/sobjects/Lead/00Q76000005BLF5EAO')])",Nella,Arnott,Data Analyst,arnott@gmail.com,(777) 777-7777,USA,"Vice President, Technology & Business Development - Genesis Alkali",Environmental,Open,1600000.0,43,AI,AI Chatbots and Virtual Assistants,500k - 2M,Yes,80,16,Cold Lead
"OrderedDict([('type', 'Lead'), ('url', '/services/data/v57.0/sobjects/Lead/00Q76000005BFheEAG')])",Michael,Brown,Healthcare Director,michael.brown@email.com,(777) 888-9999,USA,"Director, Information Technology Back Office Applications",Food & Beverage,Qualified,950000.0,80,RPA,Process Analysis and Optimization,500k - 2M,Yes,100,25,Cold Lead
"OrderedDict([('type', 'Lead'), ('url', '/services/data/v57.0/sobjects/Lead/00Q76000005BFhfEAG')])",Linda,Miller,Sales Manager,linda.miller@email.com,(222) 333-4444,USA,"Vice President, Technology",Government,Unqualified,1700000.0,220,RPA,Process Analysis and Optimization,500k - 2M,Yes,70,12,Cold Lead
"OrderedDict([('type', 'Lead'), ('url', '/services/data/v57.0/sobjects/Lead/00Q76000005BFhgEAG')])",David,Smith,Marketing Director,david.smith@email.com,(333) 444-5555,USA,Global Head of Data & Business Intelligence,Healthcare,Contacted,1200000.0,100,RPA,Process Analysis and Optimization,500k - 2M,Yes,90,20,Cold Lead
"OrderedDict([('type', 'Lead'), ('url', '/services/data/v57.0/sobjects/Lead/00Q76000005BFhhEAG')])",Susan,Clark,Consultant,susan.clark@email.com,(987) 654-3210,USA,Head of IT Financial Planning,Hospitality,Open,200000.0,50,RPA,Process Analysis and Optimization,0 - 500k,Yes,50,4,Cold Lead
"OrderedDict([('type', 'Lead'), ('url', '/services/data/v57.0/sobjects/Lead/00Q76000005BFhiEAG')])",Richard,Moore,CEO,richard.moore@email.com,(123) 456-7890,USA,"Regional Director, Information Technology (Quebec)",Insurance,Qualified,3000000.0,300,RPA,RPA Consulting and Strategy,2M - 4M,Yes,130,37,Cold Lead
"OrderedDict([('type', 'Lead'), ('url', '/services/data/v57.0/sobjects/Lead/00Q76000005BFhjEAG')])",Karen,Williams,Healthcare Manager,karen.williams@email.com,(888) 999-0000,USA,"VP, Marketing",Machinery,Unqualified,750000.0,65,RPA,RPA Consulting and Strategy,500k - 2M,Yes,70,12,Cold Lead
"OrderedDict([('type', 'Lead'), ('url', '/services/data/v57.0/sobjects/Lead/00Q76000005BFhkEAG')])",Daniel,Thomas,CTO,daniel.thomas@email.com,(555) 555-5555,USA,"Head of IT Integration & Production - Trading, Forex & Cash services",Manufacturing,Contacted,900000.0,80,RPA,RPA Consulting and Strategy,500k - 2M,Yes,90,20,Cold Lead
"OrderedDict([('type', 'Lead'), ('url', '/services/data/v57.0/sobjects/Lead/00Q76000005BFhlEAG')])",Jessica,Robinson,Marketing Coordinator,jessica.robinson@email.com,(777) 777-7777,USA,"Vice President, Information Technology",Media,Open,550000.0,45,RPA,RPA Consulting and Strategy,500k - 2M,Yes,80,16,Cold Lead
"OrderedDict([('type', 'Lead'), ('url', '/services/data/v57.0/sobjects/Lead/00Q76000005BFhmEAG')])",William,Harris,Financial Analyst,william.harris@email.com,(888) 888-8888,USA,"Vice President, Service Delivery (Americas)",Not For Profit,Qualified,180000.0,30,RPA,RPA Consulting and Strategy,0 - 500k,Yes,70,12,Cold Lead
"OrderedDict([('type', 'Lead'), ('url', '/services/data/v57.0/sobjects/Lead/00Q76000005BFhnEAG')])",Olivia,Smith,Production Supervisor,olivia.smith@email.com,(444) 444-4444,USA,Executive VP,Other,Unqualified,1600000.0,180,RPA,RPA Consulting and Strategy,500k - 2M,Yes,70,12,Cold Lead
"OrderedDict([('type', 'Lead'), ('url', '/services/data/v57.0/sobjects/Lead/00Q76000005BFhoEAG')])",James,Wilson,Healthcare Coordinator,james.wilson@email.com,(222) 222-2222,USA,"Chief Information Officer & Vice President, Digital & Technology",Recreation,Contacted,700000.0,50,RPA,RPA Consulting and Strategy,500k - 2M,Yes,90,20,Cold Lead
"OrderedDict([('type', 'Lead'), ('url', '/services/data/v57.0/sobjects/Lead/00Q76000005BFhpEAG')])",Sophia,Anderson,Data Scientist,sophia.anderson@email.com,(111) 111-1111,USA,"Director, Transition & Transformation Programme",Retail,Open,750000.0,55,RPA,Process Analysis and Optimization,500k - 2M,Yes,80,16,Cold Lead
"OrderedDict([('type', 'Lead'), ('url', '/services/data/v57.0/sobjects/Lead/00Q76000005BFhqEAG')])",Alexander,Johnson,Business Consultant,alexander.johnson@email.com,(333) 333-3333,IN,"Director, IT Application Delivery Operations",Shipping,Qualified,220000.0,25,RPA,Process Analysis and Optimization,0 - 500k,Yes,110,29,Cold Lead
"OrderedDict([('type', 'Lead'), ('url', '/services/data/v57.0/sobjects/Lead/00Q76000005BFhrEAG')])",Charlotte,White,Marketing Manager,charlotte.white@email.com,(666) 666-6666,IN,"Senior VP, Information Technology Strategy",Technology,Unqualified,1400000.0,90,RPA,Process Analysis and Optimization,500k - 2M,Yes,110,29,Cold Lead
"OrderedDict([('type', 'Lead'), ('url', '/services/data/v57.0/sobjects/Lead/00Q76000005BEChEAO')])",Storm,sim,"VP, Facilities",storm@gmail.com,(666) 666-6666,IN,"Director, IT Security & Compliance",Chemicals,Open,650000.0,40,Healthcare,Healthcare Compliance and Regulations,500k - 2M,No,200,66,Warm Lead
"OrderedDict([('type', 'Lead'), ('url', '/services/data/v57.0/sobjects/Lead/00Q76000005BED6EAO')])",Sylvia,simpson,CFO,sylvia@gmail.com,(777) 777-7777,IN,"Director, Business Analytics",Biotechnology,Open,180000.0,30,RPA,Process Analysis and Optimization,0 - 500k,Yes,90,20,Cold Lead
"OrderedDict([('type', 'Lead'), ('url', '/services/data/v57.0/sobjects/Lead/00Q76000005BEByEAO')])",Tayla,smith,"SVP, Production",tayla@gmail.com,(888) 888-8888,IN,"Director, Cloud Security Architecture",Biotechnology,Open,700000.0,50,SAP,SAP Customization and Development,500k - 2M,Yes,120,33,Cold Lead
"OrderedDict([('type', 'Lead'), ('url', '/services/data/v57.0/sobjects/Lead/00Q76000005BGjREAW')])",Teegan,spence,"VP, Facilities",teegan@gmail.com,1234567887,IN,Radiant Vp,Communications,Open,987654.0,80,SAP,SAP Customization and Development,500k - 2M,Yes,120,33,Cold Lead
"OrderedDict([('type', 'Lead'), ('url', '/services/data/v57.0/sobjects/Lead/00Q76000005BECmEAO')])",Tallulah,smart,"SVP, Operations",tallulah@gmail.com,(999) 999-9999,IN,IT Infrastructure Coordinator,Consulting,Open,900000.0,80,IT Services,IT Consulting and Strategy,500k - 2M,No,200,66,Warm Lead
"OrderedDict([('type', 'Lead'), ('url', '/services/data/v57.0/sobjects/Lead/00Q76000005BLEoEAO')])",Mae,BRYCE,Marketing Manager,bryce@gmail.com,(888) 999-0000,IN,"Director, Information Technology",Food & Beverage,Open,78900.0,61,Healthcare,Healthcare Compliance and Regulations,0 - 500k,No,170,54,Warm Lead
"OrderedDict([('type', 'Lead'), ('url', '/services/data/v57.0/sobjects/Lead/00Q76000005BLEpEAO')])",Maeve,BUCHAN,Marketing Coordinator,buchan@gmail.com,(777) 777-7777,IN,"Director, Software Development & Quality Assurance",Government,Open,1000000.0,30,Healthcare,Healthcare Compliance and Regulations,500k - 2M,No,200,66,Warm Lead
"OrderedDict([('type', 'Lead'), ('url', '/services/data/v57.0/sobjects/Lead/00Q76000005BLEqEAO')])",Magnolia,BUCHANAN,CTO,buchanan@gmail.com,(123) 456-7890,IN,"Director, Enterprise Architecture",Healthcare,Open,500000.0,38,Healthcare,Healthcare Compliance and Regulations,0 - 500k,No,170,54,Warm Lead
"OrderedDict([('type', 'Lead'), ('url', '/services/data/v57.0/sobjects/Lead/00Q76000005BLErEAO')])",Maisie,BURNETT,Finance Manager,burnett@gmail.com,(555) 555-5555,IN,"Director, Database Services & Business Intelligence",Hospitality,Open,2500000.0,40,Healthcare,Healthcare Compliance and Regulations,2M - 4M,No,230,79,Hot Lead
"OrderedDict([('type', 'Lead'), ('url', '/services/data/v57.0/sobjects/Lead/00Q76000005BLEsEAO')])",Mara,BURNS,Financial Analyst,burns@gmail.com,(888) 999-0000,USA,"Director, IT Information Services",Insurance,Open,3000000.0,40,Healthcare,Healthcare Compliance and Regulations,2M - 4M,No,190,62,Warm Lead
"OrderedDict([('type', 'Lead'), ('url', '/services/data/v57.0/sobjects/Lead/00Q76000005BLEtEAO')])",daliya,CAIRNS,CTO,cairns@gmail.com,(222) 222-2222,USA,"Director, HRIS",Machinery,Open,1200000.0,34,Healthcare,Healthcare Compliance and Regulations,500k - 2M,No,160,50,Warm Lead
"OrderedDict([('type', 'Lead'), ('url', '/services/data/v57.0/sobjects/Lead/00Q76000005BLEuEAO')])",dolyy,CALDER,Marketing Coordinator,calder@gmail.com,(444) 444-4444,USA,"Manager, IT Commercial",Manufacturing,Open,800000.0,40,Healthcare,Healthcare Compliance and Regulations,500k - 2M,No,160,50,Warm Lead
"OrderedDict([('type', 'Lead'), ('url', '/services/data/v57.0/sobjects/Lead/00Q76000005BLEvEAO')])",jolly,CALDWELL,CEO,caldwell@gmail.com,(123) 456-7890,USA,"Director, Data Warehousing & Business Intelligence",Media,Open,600000.0,30,Healthcare,Healthcare Data Management,500k - 2M,No,160,50,Warm Lead
"OrderedDict([('type', 'Lead'), ('url', '/services/data/v57.0/sobjects/Lead/00Q76000005BLEwEAO')])",Maren,CAMERON,Marketing Manager,cameron@gmail.com,(987) 654-3210,USA,"Manager, IT Applications",Not For Profit,Open,2000000.0,30,Healthcare,Healthcare Data Management,500k - 2M,No,160,50,Warm Lead
"OrderedDict([('type', 'Lead'), ('url', '/services/data/v57.0/sobjects/Lead/00Q76000005BLExEAO')])",Margot,CAMPBELL,CFO,campbell@gmail.com,(555) 123-4567,USA,"Director, IT Planning",Other,Open,1500000.0,49,Healthcare,Healthcare Data Management,500k - 2M,No,160,50,Warm Lead
"OrderedDict([('type', 'Lead'), ('url', '/services/data/v57.0/sobjects/Lead/00Q76000005BLEyEAO')])",Marigold,CARMICHAEL,Sales Manager,carmichael@gmail.com,(111) 222-3333,USA,Ext Rel's & Res Comm Mgr,Recreation,Open,900000.0,30,IT Services,IT Consulting and Strategy,500k - 2M,No,160,50,Warm Lead
"OrderedDict([('type', 'Lead'), ('url', '/services/data/v57.0/sobjects/Lead/00Q76000005BLEzEAO')])",Marleigh,CHALMERS,CTO,chalmers@gmail.com,(333) 444-5555,USA,"Director, Financial Services Practice & Software Development",Retail,Open,800000.0,54,IT Services,IT Consulting and Strategy,500k - 2M,No,160,50,Warm Lead
"OrderedDict([('type', 'Lead'), ('url', '/services/data/v57.0/sobjects/Lead/00Q76000005BECXEA4')])",Sylvie,shearer,"VP, Finance",sylvie@gmail.com,(333) 333-3333,IN,"Director, Process Improvement",Communications,Open,850000.0,75,Financial,Financial Planning and Analysis,500k - 2M,No,200,66,Warm Lead
"OrderedDict([('type', 'Lead'), ('url', '/services/data/v57.0/sobjects/Lead/00Q76000005BLEHEA4')])",Mila,Armpriester,Production Supervisor,armpriester@gmail.com,(444) 444-4444,USA,"Assistant VP, Information Protection Services",Consulting,Open,1400000.0,40,AI,AI Chatbots and Virtual Assistants,500k - 2M,Yes,80,16,Cold Lead
"OrderedDict([('type', 'Lead'), ('url', '/services/data/v57.0/sobjects/Lead/00Q76000005BLEIEA4')])",Nora,Arnst,CTO,arnst@gmail.com,(555) 555-5555,USA,Senior Research Engineer & Machine Design Coordinator,Finance,Open,700000.0,78,Marketing,Digital Marketing,500k - 2M,No,160,50,Warm Lead
"OrderedDict([('type', 'Lead'), ('url', '/services/data/v57.0/sobjects/Lead/00Q76000005BLEJEA4')])",Nova,Arpin,Marketing Coordinator,arpin@gmail.com,(777) 777-7777,USA,"Director, Information Technology",Food & Beverage,Open,750000.0,45,Marketing,Digital Marketing,500k - 2M,No,160,50,Warm Lead
"OrderedDict([('type', 'Lead'), ('url', '/services/data/v57.0/sobjects/Lead/00Q76000005BLEKEA4')])",Octavia,Arrants,Financial Analyst,arrants@gmail.com,(888) 888-8888,USA,"Director, Systems Engineering",Government,Open,220000.0,45,Marketing,Digital Marketing,0 - 500k,No,130,37,Cold Lead
